,Virginia,California,Florida,New Jersey,Texas,New York,Colorado,Massachusetts,Nevada,Arizona,Oregon,North Carolina,the District of Columbia,Washington,Wisconsin,Hawaii,Utah,Michigan,South Carolina,Minnesota,Tennessee,Georgia,New Hampshire,Illinois,Vermont,Iowa,Missouri,Maryland,Rhode Island,Indiana,Montana,Wyoming,Pennsylvania,Oklahoma,West Virginia,Delaware,Alabama,Connecticut,Ohio,Kansas,South Dakota,Idaho,North Dakota,Nebraska,Mississippi,New Mexico,Arkansas,Alaska,Louisiana,Kentucky,Maine
2000-12-01,124862.86234624659,207787.9989400385,110372.1392504763,173865.3931188855,109038.01917133962,140159.3993841143,189105.05297547157,215044.35370807617,161261.81614810004,138517.80881880817,152225.26258339777,125185.36809619969,158324.56527402796,179412.3231867583,118785.23760787207,182807.97096017867,171454.75947063058,113595.9361585502,109649.99132604846,132255.66581312532,102201.93661615852,124536.617909178,142794.65346437777,122932.38872984768,109838.3300237694,81958.65483448662,92593.15954908919,149656.52818198595,141731.6134743313,95253.90127464333,,,95813.87363260945,75457.92776067277,62987.96833444741,140892.28581484515,86717.76113262084,174327.61825404715,105045.15238665853,73352.16625514516,94175.98612251108,119301.97735849809,,112310.55244253068,76383.57166623366,,80682.91042547413,128629.26081438248,97446.1771157438,87620.75299452317,107148.29010640823
2001-01-01,125741.18341075932,209743.3954050912,111022.1382732819,175139.00068164105,109254.66651672676,141211.2257872679,191014.6752426947,217674.80541076846,161993.69946326214,139124.82738401767,152723.39065226135,125760.09478786025,159055.69591472365,180244.7366214873,119301.13658157342,183394.8326794889,171938.3259034172,114347.23744511283,110129.23083101527,133651.40678652658,102624.3682482983,125409.74511178098,144413.7850928339,123501.71639443796,110551.0597910054,82247.20481612667,93074.7142248327,150341.33233166506,142802.18459180408,95700.35798134393,,,96256.29081581085,75841.37684779214,63574.92756420257,141669.40017996656,87145.18407772794,175439.18866025828,105456.96725116552,73791.29830520392,94232.92604056121,119678.4889427779,,112797.6140525618,76879.3806489714,,81183.80814531888,130893.59057887054,98047.9091509953,88124.87808180845,108373.97425623571
2001-02-01,126518.83651732845,211678.44329534474,111667.69893787308,176544.59980342953,109224.83528824484,142087.15253604206,192814.2316626783,220077.17251628963,162770.47544037522,139730.40142146946,153145.7499220461,126187.0878319418,159805.58898677552,181068.71485789458,119804.32800819387,183976.81060925292,172216.41685582342,114924.05176098137,110557.82737527987,134898.82871894885,102960.05527986326,126160.26576469031,146147.2869864765,124073.36103779094,111350.0638752632,82509.11638431669,93407.85759917484,150963.75143592944,143875.2878616477,95850.55257865833,,,96660.88056118017,76216.19662681753,63935.25231565599,142304.46182037028,87506.68149331499,176361.5629965992,105784.32627120362,74292.21623632377,94424.54079882399,120060.58974183118,,113124.33193410648,77176.69018919212,,81490.93760471887,134476.39958948118,98574.0226817036,88579.12971261823,109507.16350593987
2001-03-01,127317.81489655834,213858.20112244485,112342.27850192472,177940.40587978225,109012.2027256044,142875.13905158083,194638.66165733323,222446.10007942878,163617.11930332577,140338.79107327096,153593.73636891833,126529.48600917238,160843.710566583,181842.3655522665,120306.53396199469,184498.76231914837,172380.53785372895,115390.18916327205,111001.4774649845,136134.62996747665,103243.13699187098,126799.97770041427,147780.64769324593,124693.87098662129,112189.63527277182,82676.67248094636,93775.48123790078,151492.37734986955,145017.07611874864,95845.05791126097,,,97067.97678020474,76542.73828978618,64201.92489563039,142996.0326158144,87804.10849053122,177385.87488808203,106086.7858751566,74815.11024422297,94817.329198051,120586.5131555649,,110845.73909483136,77356.87673536436,,81713.37867125464,139048.65223119434,99082.68536140372,89005.07921381608,110568.58078103523
2001-04-01,128151.25902773085,216569.23021973818,113138.52581405586,179414.51575789158,108885.84472081483,143693.6458581357,196414.7241101472,224894.5126842628,164464.3563189353,140957.1327304806,153983.92660394323,126779.8366694771,162423.97880436204,182596.7603255565,120860.2400989775,185120.06967851493,172547.13473166086,115794.01351145381,111305.1806282575,137470.18995517996,103469.19528935268,127388.34948784507,149467.73016476663,125326.35505148671,113027.88261886762,82906.46872332353,94247.66107664247,152203.06081961337,146341.6063090669,95795.68565951032,,,97504.91840622072,76851.13274114313,64331.589784180665,143655.25220169427,88017.94119441842,178568.09531802163,106384.7239279219,75263.9984479326,95170.18967224781,121092.90348594285,,107594.21369218716,77506.56036613836,,81864.90803450809,142509.10664381486,99528.49098943947,89382.28268160293,111407.67137879669
2001-05-01,129073.92542979377,219284.8154854645,114010.24854986071,180867.9957770419,108925.89695428351,144594.77253564107,198186.57331503447,227424.35163587154,165366.37902652103,141584.72800016555,154421.5175067459,127072.41350039514,164227.83575746333,183246.48446560677,121432.99786115193,186010.34366327059,172642.11895317372,116287.29802423425,111648.34396604786,138834.74184801764,103729.55587464753,128038.74299057072,151352.89020344318,126079.19036398914,113803.11793325229,83166.01081657813,94807.82031559861,153037.50398218387,147752.08278017817,95981.53779311711,,,97923.100545317,77119.53694155674,64590.28062249479,144338.3294244205,88229.57368225069,179900.06201845515,106707.69009319077,75685.58324022799,95693.46403396572,121587.60973392603,,104229.78955991498,77778.56288716168,,82155.9037736266,145376.62752174726,99935.26962523145,89778.87374882557,112413.10849248899
2001-06-01,129998.14232809386,221751.0298907011,114920.18821404882,182487.5635225517,109051.55734094621,145588.83145392794,199769.69273578515,230080.35872531772,166240.55352360333,142219.02618239907,154877.9878123708,127368.36104145164,165991.39399505145,183911.6450655315,122037.78672935622,187021.08512409093,172804.9651953595,116794.81934062981,112013.27157904526,140201.71166249842,103983.03470777629,128688.77878976583,153370.3216023219,126872.92586027038,114534.54998241494,83496.37007912675,95420.47895260953,154042.66883258717,149213.07574515764,96320.52826945111,,,98348.80504492385,77384.35536931588,64853.7318667724,145009.0279288723,88447.48777372116,181243.51760280016,107026.17876741658,76095.94143194582,95964.3292798499,121954.8221618965,,103384.35895589275,78068.75955098409,,82490.74672626628,147786.05238657838,100306.4774863407,90205.22372683971,113522.94018859188
2001-07-01,130994.62818302047,224060.0687903825,115898.64892396993,184232.4412732396,109200.13545196778,146632.6121207327,201331.4562132512,232896.37688128394,167171.15669814963,142822.94287808548,155412.86786051447,127652.46793082087,167771.74546317576,184541.46635699132,122682.30307204164,188131.45116072963,172942.69891629354,117325.09911465594,112460.53492531319,141637.00996690954,104225.35244380332,129337.76861108816,155388.70104074918,127692.41518489656,115283.70068717736,83830.75437627021,96046.46607573365,155124.03530008576,150782.0936226919,96736.16039234579,,,98806.7856470314,77632.82807682474,65117.59212006683,145647.63310016814,88694.3967833396,182546.76751130904,107382.42031681498,76499.91600824324,96224.13733940649,122331.23346327631,,103359.0471356702,78310.66667579577,,82877.69656870204,150047.00230181537,100661.76325108697,90633.97205207053,114772.8659565641
2001-08-01,131999.20143939168,226285.97711568323,116935.83667177659,186159.40400590436,109334.42698176025,147728.86337586155,202874.8370212348,235964.10219301758,168119.97362653326,143418.18362945097,156021.5545845327,127977.20170353756,169735.68774182544,185318.7273701372,123361.25390417564,189219.1739420514,173207.92600034832,117889.88366395842,112826.3056033145,143201.60512214803,104510.0447368452,129997.38676323585,157231.34268268276,128690.5552302749,115971.46973350295,84197.62053044907,96620.78368576104,156314.08424428737,152653.70868875846,97105.0204255641,,,99311.18164745183,77910.15270392771,65362.56072324846,146324.01973582048,88914.34393490296,184234.38935459856,107778.61052606406,76880.27054437279,96287.71626319196,122787.59437914845,,103519.5210621844,78586.68311610376,,83203.1566326252,151684.409638046,101061.25196578084,91015.60839907672,115844.0530297368
2001-09-01,133035.18063539255,228447.66574196462,118011.00378384214,188225.75121713697,109476.56853292721,148800.4086919228,204325.5679225761,238943.52021868736,169099.02093947423,144015.38647768766,156592.331846855,128310.29181128734,171817.21736316374,186025.04895067637,124044.06918610132,190422.35978191035,173455.16376214425,118505.39109261846,113139.35330097783,144872.8812910686,104811.09853980543,130655.12982820139,159081.59933095291,129834.3243293704,116664.1973948638,84564.84215158844,97173.10829248559,157532.91294529347,154704.84269536854,97302.24530007104,,,99821.66696287121,78201.41757382675,65571.37458393116,147043.28430240913,89162.73981754208,186103.0330901336,108183.27764677466,77223.39942384958,96370.66491035931,123279.97587897623,,103743.26432584373,78841.24838775437,,83486.3812364821,152831.88503711091,101466.75254773213,91346.59281439007,116859.63498034868
